Nº_Distrito;Nombre_distrito;NOMBRE_ESPECIE;Nº_Unidades 2025;
1;CENTRO;Ligustrum japonicum;2637;
1;CENTRO;Styphnolobium japonicum;1570;
1;CENTRO;Platanus x hispanica;1412;
1;CENTRO;Aesculus hippocastanum;485;
1;CENTRO;Pyrus calleryana 'Chanticleer';477;
1;CENTRO;Prunus cerasifera  subsp. pissardii;410;
1;CENTRO;Cercis siliquastrum;368;
1;CENTRO;Ligustrum japonicum 'Variegatum';323;
1;CENTRO;Ulmus pumila;322;
1;CENTRO;Otros;4098;
2;ARGANZUELA;Platanus x hispanica;3433;
2;ARGANZUELA;Styphnolobium japonicum;2434;
2;ARGANZUELA;Celtis australis;1717;
2;ARGANZUELA;Ligustrum japonicum;1269;
2;ARGANZUELA;Melia azedarach;1187;
2;ARGANZUELA;Ulmus pumila;1159;
2;ARGANZUELA;Pinus pinea;1148;
2;ARGANZUELA;Acer negundo;1103;
2;ARGANZUELA;Robinia pseudoacacia;1098;
2;ARGANZUELA;Gleditsia triacanthos;683;
2;ARGANZUELA;Prunus cerasifera  subsp. pissardii;632;
2;ARGANZUELA;Otros;8027;
3;RETIRO;Platanus x hispanica;2529;
3;RETIRO;Styphnolobium japonicum;2320;
3;RETIRO;Ulmus pumila;1787;
3;RETIRO;Ligustrum japonicum;972;
3;RETIRO;Pinus pinea;626;
3;RETIRO;Celtis australis;574;
3;RETIRO;Robinia pseudoacacia;461;
3;RETIRO;Cupressus sempervirens;419;
3;RETIRO;x Cupressocyparis x leylandii;326;
3;RETIRO;Liquidambar styraciflua;326;
3;RETIRO;Aesculus hippocastanum;286;
3;RETIRO;Cupressus arizonica;285;
3;RETIRO;Prunus cerasifera  subsp. pissardii;268;
3;RETIRO;Otros;3181;
4;SALAMANCA;Styphnolobium japonicum;5812;
4;SALAMANCA;Platanus x hispanica;2406;
4;SALAMANCA;Ligustrum japonicum;1742;
4;SALAMANCA;Ulmus pumila;812;
4;SALAMANCA;Aesculus hippocastanum;636;
4;SALAMANCA;Pinus pinea;519;
4;SALAMANCA;Robinia pseudoacacia;464;
4;SALAMANCA;Melia azedarach;407;
4;SALAMANCA;Prunus cerasifera  subsp. pissardii;394;
4;SALAMANCA;Acer negundo;356;
4;SALAMANCA;Otros;5973;
5;CHAMARTIN;Platanus x hispanica;5974;
5;CHAMARTIN;Styphnolobium japonicum;3644;
5;CHAMARTIN;Ulmus pumila;2405;
5;CHAMARTIN;Celtis australis;1295;
5;CHAMARTIN;Pinus pinea;1085;
5;CHAMARTIN;Robinia pseudoacacia;968;
5;CHAMARTIN;Ligustrum japonicum;910;
5;CHAMARTIN;Melia azedarach;884;
5;CHAMARTIN;Prunus cerasifera  subsp. pissardii;845;
5;CHAMARTIN;Aesculus hippocastanum;647;
5;CHAMARTIN;Populus alba 'Bolleana';522;
5;CHAMARTIN;Otros;6802;
6;TETUAN;Platanus x hispanica;4773;
6;TETUAN;Ligustrum japonicum;903;
6;TETUAN;Ulmus pumila;706;
6;TETUAN;Melia azedarach;566;
6;TETUAN;Cupressus sempervirens;558;
6;TETUAN;Prunus cerasifera  subsp. pissardii;549;
6;TETUAN;Celtis australis;526;
6;TETUAN;Styphnolobium japonicum;521;
6;TETUAN;Aesculus hippocastanum;437;
6;TETUAN;Pinus pinea;409;
6;TETUAN;Otros;5293;
7;CHAMBERI;Styphnolobium japonicum;5697;
7;CHAMBERI;Platanus x hispanica;1746;
7;CHAMBERI;Celtis australis;824;
7;CHAMBERI;Ulmus pumila;757;
7;CHAMBERI;Ligustrum japonicum;603;
7;CHAMBERI;Melia azedarach;553;
7;CHAMBERI;Robinia pseudoacacia;283;
7;CHAMBERI;Koelreuteria paniculata;280;
7;CHAMBERI;Aesculus hippocastanum;268;
7;CHAMBERI;Cercis siliquastrum;240;
7;CHAMBERI;Prunus cerasifera  subsp. pissardii;204;
7;CHAMBERI;Fraxinus angustifolia;188;
7;CHAMBERI;Otros;2077;
8;FUENCARRAL - EL PARDO;Platanus x hispanica;9495;
8;FUENCARRAL - EL PARDO;Ulmus pumila;4627;
