NOMBRE PARQUE;ESPECIE;UNIDADES 2025;;;
JARDINES DEL BUEN RETIRO;Aesculus hippocastanum;5669;;;
JARDINES DEL BUEN RETIRO;Platanus x hispanica;977;;;
JARDINES DEL BUEN RETIRO;Cercis siliquastrum;682;;;
JARDINES DEL BUEN RETIRO;Celtis australis;594;;;
JARDINES DEL BUEN RETIRO;Cupressus sempervirens;538;;;
JARDINES DEL BUEN RETIRO;Gleditsia triacanthos;502;;;
JARDINES DEL BUEN RETIRO;Ulmus minor;420;;;
JARDINES DEL BUEN RETIRO;Styphnolobium japonicum;385;;;
JARDINES DEL BUEN RETIRO;Pinus pinea;342;;;
JARDINES DEL BUEN RETIRO;Prunus dulcis;339;;;
JARDINES DEL BUEN RETIRO;Ulmus pumila;326;;;
JARDINES DEL BUEN RETIRO;Otros;5665;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Pinus pinea;922;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Styphnolobium japonicum;786;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Platanus x hispanica;600;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Populus alba 'Bolleana';397;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Ligustrum japonicum;388;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Cedrus deodara;345;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Celtis australis;297;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Prunus cerasifera  subsp. pissardii;293;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Populus nigra;271;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Cedrus atlantica;239;;;
PARQUE DEL OESTE - TEMPLO DE DEBOD;Otros;2442;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Prunus dulcis Marcona;1251;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Pinus halepensis;1027;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Cupressus sempervirens;609;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;"Prunus dulcis ""Desmayo Largueta""";393;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Pinus pinea;345;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Eucalyptus sp;274;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Platanus x hispanica;244;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Cedrus deodara;232;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Prunus dulcis;227;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Gleditsia triacanthos;207;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Ulmus sp;191;;;
JARDÍN DE LA QUINTA DE LOS MOLINOS;Otros;1653;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Ligustrum lucidum;294;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Cupressus sempervirens;133;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Aesculus hippocastanum;78;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Prunus cerasifera  subsp. pissardii;61;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Cedrus deodara;53;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Acacia dealbata;47;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Populus alba 'Bolleana';28;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Platanus x hispanica;27;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Celtis australis;25;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Trachycarpus fortunei;22;;;
JARDÍN DE LA QUINTA DE LA FUENTE DEL BERRO;Otros;343;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Cercis siliquastrum;756;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Cupressus sempervirens;342;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Gleditsia triacanthos;200;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Populus nigra;189;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Fraxinus americana;181;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Platanus x hispanica;139;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Quercus robur;134;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Acer campestre;117;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Robinia pseudoacacia;98;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Aesculus hippocastanum;77;;;
JARDÍN DE 'EL CAPRICHO' DE LA ALAMEDA DE OSUNA;Otros;1249;;;
JARDINES DE SABATINI;Cupressus sempervirens;85;;;
JARDINES DE SABATINI;Pinus pinea;50;;;
JARDINES DE SABATINI;Acer negundo;26;;;
JARDINES DE SABATINI;Cedrus deodara;21;;;
JARDINES DE SABATINI;Magnolia grandiflora;16;;;
JARDINES DE SABATINI;Abies nordmanniana;8;;;
JARDINES DE SABATINI;Thuja occidentalis;5;;;
JARDINES DE SABATINI;Acer pseudoplatanus;3;;;
JARDINES DE SABATINI;Cercis siliquastrum;1;;;
JARDINES DE SABATINI;Populus alba 'Bolleana';1;;;
JARDINES DE SABATINI;Ulmus minor;1;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Platanus x hispanica;126;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Ligustrum japonicum;38;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus sempervirens;31;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Taxus baccata;28;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Magnolia grandiflora;9;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cedrus deodara;8;;;
JARDINES PLAZA DE ORIENTE - JARDÍN DEL CABO NOVAL-JARDÍN DE LEPANTO;Cupressus macrocarpa;6;;;
