Nº DISTRITO;DISTRITO;ESPECIE PREDOMINANTE;Nº masas;Superficie (m2) Masa arbórea ;Superficie (ha) Masa arbórea ;
1;CENTRO;;0;0,00;0,00;
2;ARGANZUELA;Pinus halepensis;2;32.211,43;3,22;
3;RETIRO;Pinus pinea;1;486,46;0,05;
4;SALAMANCA;Pinus  pinea;1;2.408,12;0,24;
5;CHAMARTIN;;0;0,00;0,00;
6;TETUAN;Pinus  pinea;39;85.723,25;8,57;
7;CHAMBERI;;0;0,00;0,00;
8;FUENCARRAL - EL PARDO;Pinus pinea;227;1.028.773,60;102,88;
9;MONCLOA-ARAVACA;Pinus pinea;114;626.617,19;62,66;
10;LATINA;Pinus pinea;188;629.433,79;62,94;
11;CARABANCHEL;Pinus pinea;49;263.283,86;26,33;
12;USERA;;0;0,00;0,00;
13;PUENTE DE VALLECAS;Pinus halepensis;12;787.413,16;78,74;
14;MORATALAZ;Pinus halepensis;14;102.458,89;10,25;
15;CIUDAD LINEAL;Pinus pinea;2;112.828,43;11,28;
16;HORTALEZA;Pinus halepensis;10;474.043,53;47,40;
17;VILLAVERDE;Pinus halepensis;56;431.045,31;43,10;
18;VILLA DE VALLECAS;Pinus halepensis;6;942.945,59;94,29;
19;VICALVARO;Pinus halepensis;4;439.983,04;44,00;
20;SAN BLAS - CANILLEJAS;Pinus halepensis;7;170.843,97;17,08;
21;BARAJAS;Pinus pinea;5;149.946,29;14,99;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
