PARQUE;ESPECIE PREDOMINANTE;Unidades ;Superficie  Masa  Forestal (ha) ;Superficie total del Parque  en conservación (ha)
PARQUE LINEAL DEL MANZANARES;Pinus halepensis;1.555;5,51;45,53
PARQUE FORESTAL DE VALDEBEBAS - FELIPE VI;Pinus pinea;65.357;241,40;371,43
PARQUE PRINCESA LEONOR    (Veáse Nota 2);;;;
PARQUE MADRID RÍO;Pinus halepensis;2.862;9,30;102,05
PARQUE DE LA CASA DE CAMPO  (Veáse Nota 1);Pinus pinea;601.188;1.403,60;1405,87
PARQUE JUAN PABLO II (ámbito del pinar);Pinus halepensis ;8.635;15,93;28,11
;;;;
;;;;
Nota 1:;;;;
Datos obtenidos a partir del Inventario LIDAR realizado en 2025;;;;
;;;;
;;;;
Nota 2:;;;;
Los árboles correspondientes al Parque Princesa Leonor han sido inventariados pie a pie y están contabilizados en los ficheros correspondientes a Arbolado;;;;
;;;;
